COD_MATERIAL            Código do produto
COD_CICLO               Ciclo (variável de tempo)
DES_CATEGORIA_MATERIAL  Categoria do produto
DES_MARCA_MATERIAL      Marca do Produto
FLG_DATA                Indicador de existência ou não de datas comemorativas no ciclo
FLG_CAMPANHA_MKT_A      Indicador de existência ou não da campanha de marketing A no ciclo
FLG_CAMPANHA_MKT_B      Indicador de existência ou não da campanha de marketing B no ciclo
FLG_CAMPANHA_MKT_C      Indicador de existência ou não da campanha de marketing C no ciclo
FLG_CAMPANHA_MKT_D      Indicador de existência ou não da campanha de marketing D no ciclo
FLG_CAMPANHA_MKT_E      Indicador de existência ou não da campanha de marketing E no ciclo
FLG_CAMPANHA_MKT_F      Indicador de existência ou não da campanha de marketing E no ciclo
PCT_DESCONTO            Percentual de desconto aplicado na venda (0 - 100)
VL_PRECO                Preço do produto
QT_VENDA                Quantidade vendida
