cód_ibge,distritos,Fator 1
1,Água Rasa,0.6823713222768367
2,Alto de Pinheiros,1.7903037109482602
3,Anhanguera,-1.2043787367753909
4,Aricanduva,-0.25792763347044523
5,Artur Alvim,-0.20528445477385623
6,Barra Funda,0.8964522477563774
7,Bela Vista,1.1548906335348057
8,Belém,0.5532976180011567
9,Bom Retiro,0.2951607715166515
10,Brás,0.11489993496000744
11,Brasilândia,-1.5317597050024638
12,Butantã,0.8438676405485098
13,Cachoeirinha,-1.0113550318045033
14,Cambuci,0.9969424824759273
15,Campo Belo,1.1897991646810704
16,Campo Grande,0.30490177342972646
17,Campo Limpo,-0.6526864293056254
18,Cangaíba,-0.25244731567369294
19,Capão Redondo,-1.020726588896915
20,Carrão,0.5535679922194049
21,Casa Verde,0.38482405652171736
22,Cidade Ademar,-0.7162921905475694
23,Cidade Dutra,-0.903631406490642
24,Cidade Lider,-0.6724368750893382
25,Cidade Tiradentes,-1.690649110940384
26,Consolação,1.756715915070841
27,Cursino,0.3597056996060771
28,Ermelino Matarazzo,-0.5900988585186828
29,Freguesia do Ó,0.03825273750933295
30,Grajaú,-1.7163104901978183
31,Guaianases,-1.2043041313136258
32,Moema,1.9682328848910864
33,Iguatemi,-1.590472974508441
34,Ipiranga,0.2826145382357776
35,Itaim Bibi,1.6276270461713422
36,Itaim Paulista,-1.0892035988640068
37,Itaquera,-0.6276466294549441
38,Jabaquara,-0.008305672206182103
39,Jaçanã,-0.19021212642494784
40,Jaguara,-0.0010935074467018147
41,Jaguaré,-0.057718259483662916
42,Jaraguá,-1.0383322730479214
43,Jardim Ângela,-1.684686984516769
44,Jardim Helena,-1.1297825149345768
45,Jardim Paulista,2.466536010631591
46,Jardim São Luís,-1.1811772679909514
47,José Bonifácio,-0.5288017709116398
48,Lapa,1.25842220995992
49,Liberdade,1.1039414104113086
50,Limão,0.04135968193798699
51,Mandaqui,0.3203170182954654
52,Marsilac,-2.051922905567347
53,Mooca,0.9228185905575413
54,Morumbi,1.166425368637314
55,Parelheiros,-1.6357391604331795
56,Pari,0.31545082652163153
57,Parque do Carmo,-0.6532709156003738
58,Pedreira,-1.1706757164987829
59,Penha,0.30425063765925414
60,Perdizes,1.7097169884323173
61,Perus,-1.1699659613087117
62,Pinheiros,1.6974299038377352
63,Pirituba,-0.2267743962170362
64,Ponte Rasa,-0.025947436478724606
65,Raposo Tavares,-0.5548068624409751
66,República,0.9588115938435694
67,Rio Pequeno,-0.6889533722673322
68,Sarcomã,-0.3871748046772526
69,Santa Cecília,1.0710789373506053
70,Santana,1.083330842328358
71,Santo Amaro,1.8975540667138278
72,São Lucas,0.016262736623188483
73,São Mateus,-0.6893324062169774
74,São Miguel,-0.7553733151372063
75,São Rafael,-1.0578413560452227
76,Sapopemba,-0.7089282183685595
77,Saúde,1.2121614335599284
78,Sé,-0.12178538424388459
79,Socorro,0.7197415458014139
80,Tatuapé,0.887053911445774
81,Tremembé,-0.39152481138716927
82,Tucuruvi,0.8820639003114497
83,Vila Andrade,-0.7631040384822051
84,Vila Curuçá,-1.1211050469797355
85,Vila Formosa,0.36095009464019523
86,Vila Guilherme,0.5810035199602636
87,Vila Jacuí,-0.9334788581846842
88,Vila Leopoldina,0.45764040503718445
89,Vila Maria,-0.18016067819897555
90,Vila Mariana,1.6442200422169932
91,Vila Matilde,0.18346191965177847
92,Vila Medeiros,-0.09994743225039658
93,Vila Prudente,0.2928605861031019
94,Vila Sônia,0.203268969392629
95,São Domingos,-0.11780007618255359
96,Lajeado,-1.2892256304582566
